date,asset,open,high,low,close,adjusted_close,volume,sector,historical_member
2023-01-02,ALFA,69.941102,70.741576,69.265168,69.747276,69.747276,3989181,technology,True
2023-01-03,ALFA,69.837044,70.557894,68.916708,69.578852,69.578852,753578,technology,True
2023-01-04,ALFA,70.236296,71.057056,69.650142,70.086314,70.086314,688245,technology,True
2023-01-05,ALFA,69.875996,70.507043,69.188603,69.659836,69.659836,2958687,technology,True
2023-01-06,ALFA,70.163548,70.487922,69.204574,69.916925,69.916925,2743907,technology,True
2023-01-09,ALFA,70.299533,70.53818,69.737517,70.300159,70.300159,507506,technology,True
2023-01-10,ALFA,70.60825,70.799759,70.549153,70.676409,70.676409,3926586,technology,True
2023-01-11,ALFA,71.081776,71.731938,70.472772,70.737666,70.737666,2308486,technology,True
2023-01-12,ALFA,69.89725,70.480541,69.141247,69.977686,69.977686,2149123,technology,True
2023-01-13,ALFA,69.504321,69.761506,69.247978,69.607077,69.607077,3967918,technology,True
2023-01-16,ALFA,69.322769,69.488214,69.108935,69.260433,69.260433,1246514,technology,True
2023-01-17,ALFA,69.267525,69.523415,68.850243,69.233373,69.233373,3487122,technology,True
2023-01-18,ALFA,69.606902,70.341996,69.064346,69.609546,69.609546,3361553,technology,True
2023-01-19,ALFA,69.990462,70.820234,69.378926,69.783132,69.783132,3264554,technology,True
2023-01-20,ALFA,69.989103,70.086042,69.61963,69.915553,69.915553,2650751,technology,True
2023-01-23,ALFA,70.063295,70.50182,69.76583,69.890263,69.890263,2709307,technology,True
2023-01-24,ALFA,69.89789,70.391562,69.347411,69.882746,69.882746,2557056,technology,True
2023-01-25,ALFA,70.072905,70.720476,69.407839,70.163134,70.163134,2612205,technology,True
2023-01-26,ALFA,70.073639,70.642396,69.470184,70.46482,70.46482,1387879,technology,True
2023-01-27,ALFA,70.707138,71.51992,70.499254,70.544368,70.544368,1917822,technology,True
2023-01-30,ALFA,70.902096,71.301554,70.790616,70.830416,70.830416,752158,technology,True
2023-01-31,ALFA,71.192169,71.47853,70.226671,71.014295,71.014295,1514527,technology,True
2023-02-01,ALFA,71.225848,71.570914,70.304719,71.03409,71.03409,1389048,technology,True
2023-02-02,ALFA,71.3123,71.676905,71.188251,71.391042,71.391042,3571562,technology,True
2023-02-03,ALFA,71.374582,72.220516,71.167865,71.445577,71.445577,1058249,technology,True
2023-02-06,ALFA,71.087563,71.329218,70.910349,71.136731,71.136731,1619959,technology,True
2023-02-07,ALFA,70.615717,70.766226,69.964343,70.58555,70.58555,803756,technology,True
2023-02-08,ALFA,70.856285,71.61887,70.088805,70.860844,70.860844,1804252,technology,True
2023-02-09,ALFA,70.834573,71.495195,70.551001,70.968207,70.968207,771822,technology,True
2023-02-10,ALFA,71.30614,71.573395,70.814799,70.976875,70.976875,2918596,technology,True
2023-02-13,ALFA,71.234209,71.464364,70.520025,71.351924,71.351924,3060923,technology,True
2023-02-14,ALFA,71.6219,72.368291,71.336888,71.660816,71.660816,512446,technology,True
2023-02-15,ALFA,72.372887,72.971233,72.016235,72.109687,72.109687,1022706,technology,True
2023-02-16,ALFA,71.71684,72.146961,71.044323,71.867608,71.867608,3527764,technology,True
2023-02-17,ALFA,72.462118,73.048956,71.744711,72.248719,72.248719,1904756,technology,True
2023-02-20,ALFA,73.409279,73.647427,73.062986,73.383991,73.383991,405704,technology,True
2023-02-21,ALFA,73.653367,73.824821,73.179381,73.574057,73.574057,1557648,technology,True
2023-02-22,ALFA,74.005577,74.261505,73.278091,73.794455,73.794455,2689331,technology,True
2023-02-23,ALFA,74.045251,74.692616,73.732064,74.16929,74.16929,2924216,technology,True
2023-02-24,ALFA,73.727928,74.349011,73.332018,73.801059,73.801059,648487,technology,True
2023-02-27,ALFA,73.574276,74.086339,73.283923,73.663813,73.663813,3227912,technology,True
2023-02-28,ALFA,73.967375,74.672293,73.575378,74.032493,74.032493,3203645,technology,True
2023-03-01,ALFA,74.014528,74.897425,73.652551,74.161931,74.161931,727918,technology,True
2023-03-02,ALFA,73.52129,73.998112,73.13983,73.763745,73.763745,375519,technology,True
2023-03-03,ALFA,73.917031,74.740277,73.541557,73.949732,73.949732,2709897,technology,True
2023-03-06,ALFA,74.1323,74.900891,73.787935,74.258198,74.258198,1077799,technology,True
2023-03-07,ALFA,73.889607,74.861518,73.681259,74.214997,74.214997,3616587,technology,True
2023-03-08,ALFA,74.166116,74.395248,73.693715,74.074178,74.074178,3772530,technology,True
2023-03-09,ALFA,74.357974,75.07548,73.688879,74.474283,74.474283,2263883,technology,True
2023-03-10,ALFA,74.142289,75.200021,73.630826,74.458456,74.458456,3597215,technology,True
2023-03-13,ALFA,74.278404,74.439291,73.942751,74.336452,74.336452,3214767,technology,True
2023-03-14,ALFA,74.439479,75.086467,74.040413,74.414205,74.414205,3889534,technology,True
2023-03-15,ALFA,74.65692,75.525109,74.564789,74.624246,74.624246,1051695,technology,True
2023-03-16,ALFA,75.296886,76.038636,74.449281,75.296694,75.296694,775517,technology,True
2023-03-17,ALFA,76.286319,76.652705,75.509855,76.141057,76.141057,2419027,technology,True
2023-03-20,ALFA,75.672066,76.039542,75.447114,75.908373,75.908373,740752,technology,True
2023-03-21,ALFA,76.127943,76.280931,75.886175,76.150885,76.150885,2742436,technology,True
2023-03-22,ALFA,76.216734,76.684466,75.30376,76.562161,76.562161,997407,technology,True
2023-03-23,ALFA,76.044543,76.375211,75.184439,76.094128,76.094128,1642731,technology,True
2023-03-24,ALFA,76.297211,77.038123,75.569541,76.35471,76.35471,1142072,technology,True
2023-03-27,ALFA,76.242183,77.022714,75.690184,76.568133,76.568133,3797499,technology,True
2023-03-28,ALFA,76.792086,77.141064,76.640261,76.773632,76.773632,560402,technology,True
2023-03-29,ALFA,76.359524,76.427147,76.078733,76.358964,76.358964,1194822,technology,True
2023-03-30,ALFA,76.741189,77.244586,76.048833,76.377645,76.377645,2662903,technology,True
2023-03-31,ALFA,76.344449,77.252284,75.52452,76.009361,76.009361,3888292,technology,True
2023-04-03,ALFA,76.497683,77.092899,76.025862,76.333427,76.333427,459509,technology,True
2023-04-04,ALFA,75.816966,76.300342,75.000646,76.009926,76.009926,3177848,technology,True
2023-04-05,ALFA,76.120003,76.956865,75.719536,76.053495,76.053495,1296974,technology,True
2023-04-06,ALFA,76.087537,76.486967,75.042042,75.823916,75.823916,3346594,technology,True
2023-04-07,ALFA,75.338134,76.174121,74.709636,75.488871,75.488871,3613086,technology,True
2023-04-10,ALFA,75.679114,75.744826,74.840709,75.609453,75.609453,641573,technology,True
2023-04-11,ALFA,75.405857,75.681859,75.052248,75.3435,75.3435,2465554,technology,True
2023-04-12,ALFA,76.511114,77.193641,76.093686,76.436775,76.436775,478822,technology,True
2023-04-13,ALFA,77.260992,77.994586,76.266803,77.163037,77.163037,390404,technology,True
2023-04-14,ALFA,77.632097,78.456846,77.550846,77.661974,77.661974,3364905,technology,True
2023-04-17,ALFA,77.877774,78.522473,77.250239,78.04362,78.04362,2547330,technology,True
2023-04-18,ALFA,77.546387,78.328461,77.4959,77.872832,77.872832,2812554,technology,True
2023-04-19,ALFA,77.960222,78.676805,77.741806,77.832799,77.832799,1161845,technology,True
2023-04-20,ALFA,77.391451,78.185127,76.932038,77.474069,77.474069,1690834,technology,True
2023-04-21,ALFA,77.878062,78.779124,76.770995,77.689944,77.689944,3499187,technology,True
2023-04-24,ALFA,77.996023,78.849836,77.358318,77.974374,77.974374,2189003,technology,True
2023-04-25,ALFA,78.475658,79.406197,77.946018,78.542997,78.542997,2740021,technology,True
2023-04-26,ALFA,78.934237,79.572082,78.075086,78.801501,78.801501,1810059,technology,True
2023-04-27,ALFA,78.31646,78.964322,78.130699,78.28627,78.28627,3168889,technology,True
